Nombre;ALDESA;ARAMAYO;ARAMSA;AZVI;CAME;CASA;BALZOLA;DURAN;MAYO;COSAPI;REYNA;GYM;ICCGSA;IESA;JJC;JOHE SA;OBRAINSA;ODEBRECHT;SUPERCONC;SVC;Otras empresas (Individuales);Otras empresas (Consorcio)
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;1
6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
20;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
21;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;
23;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
27;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;1
28;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;;
29;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
31;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;
32;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;;
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
35;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;;
36;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
37;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;1
43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;
44;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;1
49;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
53;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
55;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;
58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;1
59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1
60;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
61;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
66;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;1
67;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;;
68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
73;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
74;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
75;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
79;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
80;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;;
81;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
82;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
83;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
88;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
89;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
94;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
95;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
96;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
98;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
105;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
107;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
109;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;;
110;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;;
111;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
118;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;
120;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;1
121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
122;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
128;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
129;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
130;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;;
131;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
132;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
136;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;;
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
141;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
143;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;
149;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;;1
150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
151;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
152;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1
154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
155;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;;
158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;1
160;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;;
161;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
162;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
164;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;
166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
169;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;
170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1
172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
173;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1
176;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;
177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
